
2024/07/28 (04:19:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/28 (04:22:30) | ===> btop++ v.1.3.2
2024/07/28 (04:22:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/28 (04:22:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/12 (14:36:22) | ===> btop++ v.1.3.2
2024/08/12 (14:36:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/12 (14:36:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/24 (15:46:46) | ===> btop++ v.1.3.2
2024/08/24 (15:46:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/24 (15:46:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/25 (21:47:16) | ===> btop++ v.1.3.2
2024/08/25 (21:47:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/25 (21:47:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/07 (14:40:04) | ===> btop++ v.1.3.2
2024/09/07 (14:40:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/07 (14:40:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/09 (13:41:44) | ===> btop++ v.1.3.2
2024/09/09 (13:41:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/09 (13:41:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/15 (14:25:23) | ===> btop++ v.1.3.2
2024/09/15 (14:25:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/15 (14:25:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/15 (14:28:22) | ===> btop++ v.1.3.2
2024/09/15 (14:28:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/15 (14:28:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/15 (14:42:02) | ===> btop++ v.1.3.2
2024/09/15 (14:42:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/15 (14:42:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/20 (01:41:34) | ===> btop++ v.1.3.2
2024/09/20 (01:41:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/20 (01:41:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/10 (16:27:14) | ===> btop++ v.1.4.0
2024/12/10 (16:27:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/10 (16:27:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/21 (23:30:17) | ===> btop++ v.1.4.0
2025/02/21 (23:30:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/21 (23:30:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/27 (23:53:01) | ===> btop++ v.1.4.0
2025/02/27 (23:53:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/27 (23:53:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/28 (00:07:18) | ===> btop++ v.1.4.0
2025/02/28 (00:07:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/28 (00:07:18) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/28 (00:07:46) | WARNING: Failed to join _runner thread on exit!
